[20/Nov/2018:15:36:26 +0800] http-nio-8888-exec-1 HTTP/1.1 GET /  127.0.0.1 200 (72 ms)
[20/Nov/2018:15:36:27 +0800] http-nio-8888-exec-4 HTTP/1.1 GET /jquery.toast.min.js  127.0.0.1 200 (5 ms)
[20/Nov/2018:15:36:27 +0800] http-nio-8888-exec-3 HTTP/1.1 GET /utils.js  127.0.0.1 200 (6 ms)
[20/Nov/2018:15:36:27 +0800] http-nio-8888-exec-2 HTTP/1.1 GET /mustache.js  127.0.0.1 200 (6 ms)
[20/Nov/2018:15:36:27 +0800] http-nio-8888-exec-5 HTTP/1.1 GET /jquery.toast.min.css  127.0.0.1 200 (5 ms)
[20/Nov/2018:15:36:27 +0800] http-nio-8888-exec-6 HTTP/1.1 GET /rock.css  127.0.0.1 200 (5 ms)
[20/Nov/2018:15:42:54 +0800] http-nio-8888-exec-10 HTTP/1.1 GET /evt_balance ?account=vagasminep11&network=jungle 127.0.0.1 200 (451 ms)
[20/Nov/2018:15:42:54 +0800] http-nio-8888-exec-8 HTTP/1.1 GET /evt_balance ?account=vagasico1111&network=jungle 127.0.0.1 200 (470 ms)
[20/Nov/2018:15:42:54 +0800] http-nio-8888-exec-3 HTTP/1.1 GET /evt_balance ?account=vagasgame111&network=jungle 127.0.0.1 200 (476 ms)
[20/Nov/2018:15:42:54 +0800] http-nio-8888-exec-7 HTTP/1.1 GET /evt_balance ?account=vagasprofi11&network=jungle 127.0.0.1 200 (476 ms)
[20/Nov/2018:15:42:54 +0800] http-nio-8888-exec-4 HTTP/1.1 GET /evt_balance ?account=vagasadmin11&network=jungle 127.0.0.1 200 (573 ms)
[20/Nov/2018:15:43:13 +0800] http-nio-8888-exec-5 HTTP/1.1 GET /accounts ?network=jungle&accounts= 127.0.0.1 200 (6571 ms)
[20/Nov/2018:15:43:14 +0800] http-nio-8888-exec-10 HTTP/1.1 GET /evt_balance ?account=vagasprofi11&network=jungle 127.0.0.1 200 (669 ms)
[20/Nov/2018:15:43:14 +0800] http-nio-8888-exec-1 HTTP/1.1 GET /evt_balance ?account=vagasminep11&network=jungle 127.0.0.1 200 (673 ms)
[20/Nov/2018:15:43:14 +0800] http-nio-8888-exec-8 HTTP/1.1 GET /evt_balance ?account=vagasico1111&network=jungle 127.0.0.1 200 (668 ms)
[20/Nov/2018:15:43:14 +0800] http-nio-8888-exec-9 HTTP/1.1 GET /evt_balance ?account=vagaswallet1&network=jungle 127.0.0.1 200 (677 ms)
